,Tweet,Autor,Fecha,Total Favs,Total RTs
0,El ex presidente de Paraguay Horacio Cartes dirige un grupo económico que lleva su apellido y que cuenta con más de… https://t.co/2XHlrDjxdI,LabCronos,2022-06-15 14:36:53,0,0
1,RT @aestigarribia: Alemania tiene altos impuestos para los empresarios y establecidos muchos derechos laborales para los trabajadores. Para…,albertomedina71,2022-06-15 14:36:51,18,0
2,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",lopez_leolopez,2022-06-15 14:36:44,37,0
3,"#WayraStartups | @Joinnus alista su ingreso a México y busca cerrar una ronda de inversión este año⚡

La meta es te… https://t.co/DWu1xituqY",wayrahispam,2022-06-15 14:36:39,0,0
4,"Paraguay recibe premio Forum por su apoyo y crecimiento en el turismo de reuniones - .::Agencia IP::.

https://t.co/fbq4V4C27Z",nyoticiaspy,2022-06-15 14:36:36,0,0
5,"RT @topone71: El final de la historia ya lo conocemos. Tenemos un montón de idiotas en el poder, con opositores similares que en esa época…",MartSalAcker,2022-06-15 14:36:29,4,0
6,"RT @DCCO_Paraguay: #Amambay Agentes del @DCCO_Paraguay forman parte del ""Operativo Persea del Norte”. Varios allanamientos simultáneos en l…",PerlaSilguero,2022-06-15 14:36:20,1,0
7,"RT @AlamVera2: Supuestamente Tabesa USA tenía que comprar de Tabesa Paraguay para enviar a Aruba.
Pero como el barco no llegaría a tiempo.…",barbozaalan_,2022-06-15 14:36:16,86,0
8,"RT @juankilezcano: Iraníes vinculados con organizaciones terroristas se pasearon por Paraguay, pero tenemos un lamebo… digo, un diputado, q…",mirtiapthorpe,2022-06-15 14:36:12,5,0
9,"RT @VTVcanal8: Bolivia integrará ruta bioceánica con Brasil, Paraguay, Argentina y Chile

#LaVozDeVenezuelaEnQatar 

https://t.co/rQnjs6z1E…",abuelacata2,2022-06-15 14:36:11,45,0
10,RT @topone71: Hoy hace 10 años que la Embajada Americana con sus narcos preferidos (Cartistas) y corruptos aspiracionales (liberales) asesi…,MartSalAcker,2022-06-15 14:36:08,10,0
11,"Just posted a photo @ Asunción, Paraguay https://t.co/KSUfqFZEzQ",ArielBaz,2022-06-15 14:36:06,0,0
12,"RT @martinezmerce18: Millones de pesos salen de Argentina x mes a Bolivia y Paraguay 
Por giro o en efectivo
La mayoría dinero de planes so…",Luis97848484,2022-06-15 14:35:59,10,0
13,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",barbozaalan_,2022-06-15 14:35:52,37,0
14,"RT @cdeparaguay: A 10 años de la Masacre de Marina Kué, la pregunta ""¿Qué pasó en Curuguaty?"" sigue retumbando en la memoria. Aquí algunos…",gurisciacca,2022-06-15 14:35:47,14,0
15,"#Amambay Agentes del @DCCO_Paraguay forman parte del ""Operativo Persea del Norte”. Varios allanamientos simultáneos… https://t.co/D6cUvrAAfq",DCCO_Paraguay,2022-06-15 14:35:42,1,0
16,"RT @Mariano31975056: Santi dijo que en el paraguay no hay lavado de dinero, pero el grupo al cual pertenece acusa al diario ABC de lavar di…",Tata_Beto_Py,2022-06-15 14:35:39,4,0
17,"𝗔𝗖𝗧𝗨𝗔𝗟𝗜𝗗𝗔𝗗 📰🚅

En Paraguay, entre 12.000 a 14.000 personas se enteran anualmente que tienen cáncer, según afirmó Ju… https://t.co/BwSbQZxdRI",elindepepy,2022-06-15 14:35:30,0,0
18,"RT @elsurti: ☝🏽 A una década de la Masacre de Curuguaty.

Lo que se sabe, lo que no. Las mentiras que se dijeron al principio y las verdade…",messi_topo,2022-06-15 14:35:23,29,0
19,RT @soytatireal: Que grande Paraguay.,jeguaru,2022-06-15 14:35:13,122,0
20,RT @GustavoAzocarA: TERRORISTAS EN ACCIÓN: El Clarín de Argentina informa que Paraguay suspendió a dos funcionarios que no controlaron el m…,ZenGer551,2022-06-15 14:35:12,240,0
21,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",Daiha_du,2022-06-15 14:35:12,37,0
22,@pedrocaminos “tenían facultades para evitar el aterrizaje del avión. Supieron el 6/6 por el embajador de Paraguay… https://t.co/AxCz0znHEE,MarcheseLourdes,2022-06-15 14:35:12,0,0
23,"Ya estamos #Paraguay en directo! Unite OnLine para el mundo. 😉 #ecommerce 
eCommerce Institute y Camara Paraguaya d… https://t.co/w3xPcbW0B4",PatoSchifini,2022-06-15 14:35:09,0,0
24,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",DiegoDavidRiva1,2022-06-15 14:35:05,37,0
25,"Solo 20 paises firmaron el pacto migratorio de la Cumbre de las Américas: Estados Unidos, Argentina, Barbados, Beli… https://t.co/Phf75g7M04",jaguarard,2022-06-15 14:35:04,0,0
26,"RT @jlopy_: El documental de @JLo #Halftime es tendencia en Netflix mundialmente!

Actualmente en #2 en Netflix USA y Top 5 en más de 15 pa…",jl2000__,2022-06-15 14:34:58,5,0
27,"RT @cdeparaguay: A 10 años de la Masacre de Marina Kué, la pregunta ""¿Qué pasó en Curuguaty?"" sigue retumbando en la memoria. Aquí algunos…",xiamarilla,2022-06-15 14:34:56,14,0
28,"RT @CarlosEguiaUno: El avión iraní aterrizó en Paraguay y el gobierno paraguayo echó a dos funcionarios. 
El avión iraní aterrizó en Argent…",ArgentinoFraude,2022-06-15 14:34:46,1403,0
29,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",alaanarce,2022-06-15 14:34:46,37,0
30,"RT @cdeparaguay: A 10 años de la Masacre de Marina Kué, la pregunta ""¿Qué pasó en Curuguaty?"" sigue retumbando en la memoria. Aquí algunos…",ariel_p,2022-06-15 14:34:40,14,0
31,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",DarioEche,2022-06-15 14:34:36,37,0
32,"RT @Mariano31975056: Santi dijo que en el paraguay no hay lavado de dinero, pero el grupo al cual pertenece acusa al diario ABC de lavar di…",alicia_guarani,2022-06-15 14:34:32,4,0
33,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",papo02081997,2022-06-15 14:34:31,37,0
34,"El ministro del Interior, Federico González, informó que dos personas fueron apartadas de sus cargos, entre ellas e… https://t.co/vxE562Y787",78_noti,2022-06-15 14:34:25,0,0
35,"RT @simelacortas: #Langoliers A los mal parados los convencen con estás historias de ciencia ficción, pero quieren privatizar Aerolíneas ar…",OmarTruenow,2022-06-15 14:34:25,6,0
36,@CelinneCynthia Esto solo pasa en los hospitales de Paraguay 😂😂,Agu2Victor,2022-06-15 14:34:23,0,0
37,"RT @VTVcanal8: Bolivia integrará ruta bioceánica con Brasil, Paraguay, Argentina y Chile

#LaVozDeVenezuelaEnQatar 

https://t.co/rQnjs6z1E…",NeidaPe06550085,2022-06-15 14:34:21,45,0
38,"RT @ogaleanoquevedo: Marcó el inicio político del narco estado a cara descubierta, con @Horacio_Cartes &amp; Cía., @ANRParaguay y @PLRAOficial.…",alicia_guarani,2022-06-15 14:34:21,3,0
39,"@LaNacionPy El problema del Paraguay son los colorados, sean de Añeteté o de los narcotraficantes para quienes uds trabajan.",JohnLoc00533540,2022-06-15 14:34:19,0,0
40,"RT @BecerraData: “OJALÁ” — Spotify Charts:

#1. Argentina (=) *4to día en el #1*
#5. Uruguay (=) 
#51. Bolivia (+2) *NP*
#66. Paraguay (+5)…",mbecerraperu,2022-06-15 14:34:17,9,0
41,"RT @juankilezcano: Iraníes vinculados con organizaciones terroristas se pasearon por Paraguay, pero tenemos un lamebo… digo, un diputado, q…",CardozoCaty,2022-06-15 14:34:15,5,0
42,RT @cristianritondo: Uruguay sabía. Paraguay sabía. Las petroleras que no le vendieron combustible sabían. El único que “no sabía” es el Go…,lilimon59,2022-06-15 14:34:07,1237,0
43,El avion estuvo cerca de Ciudad del este. Y si. Pero no cargaron terroristas ni armamento. Eran 700.000 dolares en… https://t.co/vEUYbnkdjA,LSzajman,2022-06-15 14:34:04,0,0
44,"RT @gmilman: El día 15 de mayo, según el Ministro del Interior del Paraguay, informaron a las autoridades argentinas del vuelo que estaba l…",lidiacuneo,2022-06-15 14:34:02,51,0
45,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",gabimaidana93,2022-06-15 14:33:54,37,0
46,"RT @santiagoangelp: #NOTICIA El Primer Comando Capital, banda de narcotraficantes que opera en la frontera entre Brasil y Paraguay estaría…",MeimportaUnCul7,2022-06-15 14:33:52,122,0
47,"RT @HVelazquezPy: Con el cariño y la pasión del auténtico pueblo colorado, llevaremos nuestro mensaje a todo el país. Nuestra lucha es por…",alex19acosta,2022-06-15 14:33:51,26,0
48,"RT @AhataajuWorld: En Paraguay en el 2017 un Ministro de Salud dice que el tabaquismo no es “tan” malo. 2022, ex Ministro de Hacienda, dice…",JUBIPA781,2022-06-15 14:33:45,54,0
49,"RT @VTVcanal8: Bolivia integrará ruta bioceánica con Brasil, Paraguay, Argentina y Chile

#LaVozDeVenezuelaEnQatar 

https://t.co/rQnjs6z1E…",FSinatra5000,2022-06-15 14:33:43,45,0
50,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",Oscarcampu981,2022-06-15 14:33:42,37,0
51,RT @Tata_Beto_Py: Señoras/es candidatos/as lo que nos duele son las necesidades del Paraguay profundo y solo figuran al momento de votar y…,DarioGomezN,2022-06-15 14:33:38,2,0
52,"RT @becalpy: Invitan al I Congreso Internacional sobre la Profesión Docente en el contexto iberoamericano

📅 30/06 y 1/07
🖥️ Virtual

Organ…",ClaudiIberbuden,2022-06-15 14:33:36,5,0
53,"@AuxiEncina Ayer tuve ganas de comer y cociné un rato, cebolla caramelizada, huevo casero, queso Paraguay y ya, sencillo pero sabroso 😋😋",Aco9Miguel,2022-06-15 14:33:23,0,1
54,"Desgobierno en Paraguay. Desde el presidente, pasando por diputados, senadores y ministros; todos en campaña políti… https://t.co/GzmxBn0OJH",ivanpaezpy,2022-06-15 14:33:20,0,0
55,"RT @ProArgentinos: Es increíble que las autoridades locales mínimicen la gravedad de este asunto . Clara muestra de que lado están. 😠
#ElPe…",arqbenrufranco,2022-06-15 14:33:18,17,0
56,"RT @elsurti: ☝🏽 A una década de la Masacre de Curuguaty.

Lo que se sabe, lo que no. Las mentiras que se dijeron al principio y las verdade…",albertomedina71,2022-06-15 14:33:14,29,0
57,"RT @fabioferrer: El ministro del interior de Paraguay, Federico González reveló que para Estados Unidos los iraníes del avión de Emtrasur s…",soytulunaok,2022-06-15 14:33:09,236,0
58,RT @villalbafede: Segundo gol en el actual torneo de Luis Fariña. Es el tercero que marca con la camiseta de Cerro Porteño. El primero fue…,masto85,2022-06-15 14:33:05,2,0
59,RT @GustavoAzocarA: TERRORISTAS EN ACCIÓN: El Clarín de Argentina informa que Paraguay suspendió a dos funcionarios que no controlaron el m…,leningarciainfo,2022-06-15 14:32:57,240,0
60,"RT @fabioferrer: El ministro del interior de Paraguay, Federico González reveló que para Estados Unidos los iraníes del avión de Emtrasur s…",rondaespecial,2022-06-15 14:32:48,236,0
61,"Quién para ir a Aruba?
Trabajo practico sobre el consumo de cigarrillos made in Paraguay.
Exijo apoyo del gobierno.",AlamVera2,2022-06-15 14:32:47,0,0
62,"@nanaHarta @SiemprEmprende Por eso tienen que ir a Uruguay ,a Paraguay o Bolivia......y los que quieren ir a verlos… https://t.co/0ldN35Xi3Q",aATweetC,2022-06-15 14:32:44,0,1
63,"RT @CarlosEguiaUno: El avión iraní aterrizó en Paraguay y el gobierno paraguayo echó a dos funcionarios. 
El avión iraní aterrizó en Argent…",ElenaPe53016873,2022-06-15 14:32:42,1403,0
64,"RT @carlossancheztv: Uff acabamos de perder al mejor Pdte en tiempos de pandemia. Quién podrá hacer el gran trabajo que venía  haciendo, ah…",beniamino77,2022-06-15 14:32:42,8,0
65,"RT @fabioferrer: El ministro del interior de Paraguay, Federico González reveló que para Estados Unidos los iraníes del avión de Emtrasur s…",Anastasazia,2022-06-15 14:32:41,236,0
66,RT @linalinera: El avión iraní salió del aeropuerto mexicano de Queretaro con dos tripulantes registrados y llegó acá con 7 iraníes y 11 ve…,NoraKreimer,2022-06-15 14:32:27,18,0
67,"RT @rnpy920am: ▶️En nombre del Paraguay, la ministra de @Senatur_Py,   recibió un reconocimiento especial en la FIEXPO Latin America https:…",CosmeMision,2022-06-15 14:32:25,2,0
68,"RT @AhataajuWorld: En Paraguay en el 2017 un Ministro de Salud dice que el tabaquismo no es “tan” malo. 2022, ex Ministro de Hacienda, dice…",putedelsur,2022-06-15 14:32:14,54,0
69,"RT @Fuerzaaerea_py: El día 15 de junio se celebra un año más del Aniversario del Regimiento Escolta Presidencial, el cual cumple 178º años…",VCanoPiris,2022-06-15 14:32:10,2,0
70,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",CERROCCP191232,2022-06-15 14:32:08,37,0
71,Hola! tambien estoy en facebook. https://t.co/aeKHdxvra0 #Cotizaciones #Paraguay #bot https://t.co/X3IOlyowtF,CotizacionesPY,2022-06-15 14:32:02,0,0
72,"RT @HugoPortilloPY: Gracias a @Horacio_Cartes nuevamente Paraguay es noticia internacional🤦🏻‍♂️

@SergioMassa pdte de diputados de Argentin…",Rodri160295,2022-06-15 14:32:02,104,0
73,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",1404Aquino,2022-06-15 14:31:57,37,0
74,"RT @alesilvaper: A 14 años de este histórico partido 🇵🇾🥺

Paraguay derrotaba por 2-0 a Brasil por las Eliminatorias Sudáfrica 2010 en un re…",David_Torres_py,2022-06-15 14:31:55,3,0
75,"RT @HugoPortilloPY: Gracias a @Horacio_Cartes nuevamente Paraguay es noticia internacional🤦🏻‍♂️

@SergioMassa pdte de diputados de Argentin…",JUBIPA781,2022-06-15 14:31:55,104,0
76,"RT @VTVcanal8: Bolivia integrará ruta bioceánica con Brasil, Paraguay, Argentina y Chile

#LaVozDeVenezuelaEnQatar 

https://t.co/rQnjs6z1E…",Maurici50339754,2022-06-15 14:31:49,45,0
77,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",Nigger05,2022-06-15 14:31:49,37,0
78,"RT @becalpy: Invitan al I Congreso Internacional sobre la Profesión Docente en el contexto iberoamericano

📅 30/06 y 1/07
🖥️ Virtual

Organ…",SNJPy,2022-06-15 14:31:44,5,0
79,"RT @juankilezcano: Iraníes vinculados con organizaciones terroristas se pasearon por Paraguay, pero tenemos un lamebo… digo, un diputado, q…",Beatriz20D,2022-06-15 14:31:39,5,0
80,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",edu_melga10,2022-06-15 14:31:38,37,0
81,RT @araboro: Buenos días #Paraguay MENOS A LOS Q PIENSAN VOTAR POR @bachinunez_nuez,superavati,2022-06-15 14:31:35,2,0
82,"RT @LuisAPrietoG95: El avión - ahora de dueños venezolanos - con tripulación Iraní, que está en Bs As, cuando obtuvo negación de aterrizaje…",mmmdognuts,2022-06-15 14:31:35,15,0
83,en Paraguay plata no hay 50mil oparei🎶💃🏻🕺🏻,carlitosarandaa,2022-06-15 14:31:33,0,0
84,"@Pepe1807 Asunción, Paraguay está. Es democrático nuestro país ;)",mongenstein,2022-06-15 14:31:33,0,0
85,RT @infobae: Paraguay había alertado a Argentina sobre el avión venezolano con tripulación iraní retenido en Buenos Aires https://t.co/lRA6…,carlosb41493105,2022-06-15 14:31:31,93,0
86,"RT @juankilezcano: Iraníes vinculados con organizaciones terroristas se pasearon por Paraguay, pero tenemos un lamebo… digo, un diputado, q…",tongaspy,2022-06-15 14:31:25,5,0
87,"RT @fabioferrer: El ministro del interior de Paraguay, Federico González reveló que para Estados Unidos los iraníes del avión de Emtrasur s…",snaporaz15,2022-06-15 14:31:25,236,0
88,"RT @juankilezcano: Iraníes vinculados con organizaciones terroristas se pasearon por Paraguay, pero tenemos un lamebo… digo, un diputado, q…",wilsonaldama,2022-06-15 14:31:23,5,0
89,@luchogp95 @Gustavo_p4 @SeleccionPeru Llegar al Repechaje fue un gran logro. Dejamos a equipos con jugadores en mej… https://t.co/JPvF53LfDo,Intimo1901,2022-06-15 14:31:18,0,0
90,RT @linalinera: El avión iraní salió del aeropuerto mexicano de Queretaro con dos tripulantes registrados y llegó acá con 7 iraníes y 11 ve…,MakeloMoreno,2022-06-15 14:31:15,18,0
91,"RT @rnpy920am: ▶️En nombre del Paraguay, la ministra de @Senatur_Py,   recibió un reconocimiento especial en la FIEXPO Latin America https:…",Senatur_Py,2022-06-15 14:31:13,2,0
92,RT @OEIParaguay: 📢 ¡En la OEI estamos buscando un consultor profesional-especialista en formulación de proyectos sociales y/o educativos!…,SNJPy,2022-06-15 14:31:04,3,0
93,RT @GustavoAzocarA: TERRORISTAS EN ACCIÓN: El Clarín de Argentina informa que Paraguay suspendió a dos funcionarios que no controlaron el m…,edaviladel,2022-06-15 14:31:04,240,0
94,"RT @cdeparaguay: A 10 años de la Masacre de Marina Kué, la pregunta ""¿Qué pasó en Curuguaty?"" sigue retumbando en la memoria. Aquí algunos…",enfant_uwu,2022-06-15 14:30:53,14,0
95,RT @Julioac13: Paraguay había advertido a la CIA y a la Mossad israelí. En el Gobierno juran que el aviso les llegó tarde. Se dieron cuenta…,XxiJusticia,2022-06-15 14:30:44,14,0
96,"RT @cdeparaguay: A 10 años de la Masacre de Marina Kué, la pregunta ""¿Qué pasó en Curuguaty?"" sigue retumbando en la memoria. Aquí algunos…",PattyVelaRo,2022-06-15 14:30:35,14,0
97,"RT @Estigarribiapy_: Un 15 de Junio de 2008, Paraguay bailó a la selección brasileña de Dunga por Eliminatorias 

 https://t.co/aiApgWz0ea",alfredo87887,2022-06-15 14:30:28,37,0
98,"Iraníes vinculados con organizaciones terroristas se pasearon por Paraguay, pero tenemos un lamebo… digo, un diputa… https://t.co/kAME4SoOLT",juankilezcano,2022-06-15 14:30:28,5,7
99,@lilianayNinon @ANRParaguay @Horacio_Cartes @MaritoAbdo Mucha fuerza Señor Presidente de la República del Paraguay… https://t.co/kVXKFccXof,CarlosM86698777,2022-06-15 14:30:27,0,0
